Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-11-01 17:44:18,2023-11-01 17:44:20,1.707s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:44:20,2023-11-01 17:44:21,0.402s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-11-01 17:44:21,2023-11-01 17:44:21,0.406s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-11-01 17:44:21,2023-11-01 17:44:33,12.009s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:44:33,2023-11-01 17:44:49,15.985s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-11-01 17:44:49,2023-11-01 17:44:49,0.384s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:44:49,2023-11-01 17:44:53,4.096s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:44:53,2023-11-01 17:44:54,0.672s,PASSED
,,,,,,,
Test Cases/Senior_Sign_up_Type,Chrome 118.0.0.0,,,2023-11-01 17:44:54,2023-11-01 17:46:59,2m - 4.962s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-11-01 17:44:54,2023-11-01 17:44:58,3.888s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 17:44:58,2023-11-01 17:44:58,0.160s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-11-01 17:44:58,2023-11-01 17:44:59,0.741s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-11-01 17:44:59,2023-11-01 17:45:00,0.726s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-11-01 17:45:00,2023-11-01 17:45:00,0.723s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-11-01 17:45:00,2023-11-01 17:45:01,0.414s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Companion""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:45:01,2023-11-01 17:45:03,2.267s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-11-01 17:45:03,2023-11-01 17:45:43,40.004s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-11-01 17:45:43,2023-11-01 17:46:15,31.572s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-11-01 17:46:15,2023-11-01 17:46:20,5.006s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-11-01 17:46:20,2023-11-01 17:46:21,1.539s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:46:21,2023-11-01 17:46:22,0.328s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-11-01 17:46:22,2023-11-01 17:46:22,0.385s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-11-01 17:46:22,2023-11-01 17:46:34,12.015s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:46:34,2023-11-01 17:46:54,20.249s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-11-01 17:46:54,2023-11-01 17:46:55,0.394s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:46:55,2023-11-01 17:46:59,3.885s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:46:59,2023-11-01 17:46:59,0.647s,PASSED
,,,,,,,
Test Cases/Senior_Sign_up_Type,Chrome 118.0.0.0,,,2023-11-01 17:46:59,2023-11-01 17:49:30,2m - 30.709s,PASSED
"openBrowser(""https://caring-connections-qa.azurewebsites.net/"")",Chrome 118.0.0.0,,,2023-11-01 17:46:59,2023-11-01 17:47:04,4.585s,PASSED
maximizeWindow(),Chrome 118.0.0.0,,,2023-11-01 17:47:04,2023-11-01 17:47:04,0.186s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Username""), UserName)",Chrome 118.0.0.0,,,2023-11-01 17:47:04,2023-11-01 17:47:05,0.747s,PASSED
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-11-01 17:47:05,2023-11-01 17:47:06,0.825s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-11-01 17:47:06,2023-11-01 17:47:06,0.767s,PASSED
