Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"selectOptionByValue(findTestObject(""Login_Page/Login_Page_Objects/Select_Role""), Role, false)",Chrome 118.0.0.0,,,2023-11-01 17:17:18,2023-11-01 17:17:19,0.694s,PASSED
"setText(findTestObject(""Login_Page/Login_Page_Objects/Input_Email""), Email)",Chrome 118.0.0.0,,,2023-11-01 17:17:19,2023-11-01 17:17:19,0.693s,PASSED
"click(findTestObject(""Login_Page/Login_Page_Objects/btn_Get Started""))",Chrome 118.0.0.0,,,2023-11-01 17:17:19,2023-11-01 17:17:20,0.377s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/txt_p3_Expectations_From_Senior""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:17:20,2023-11-01 17:17:22,2.242s,PASSED
delay(40),Chrome 118.0.0.0,,,2023-11-01 17:17:22,2023-11-01 17:18:02,40.003s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_I_Want_To_Type""))",Chrome 118.0.0.0,,,2023-11-01 17:18:02,2023-11-01 17:18:34,31.691s,PASSED
delay(5),Chrome 118.0.0.0,,,2023-11-01 17:18:34,2023-11-01 17:18:39,5.018s,PASSED
"setText(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/Input_I_Want_To_Type""), Profile)",Chrome 118.0.0.0,,,2023-11-01 17:18:39,2023-11-01 17:18:40,1.177s,PASSED
"scrollToElement(findTestObject(""Object Repository/Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:18:40,2023-11-01 17:18:40,0.374s,PASSED
"click(findTestObject(""Profile_Creation_Page/Profile_Creation_Page_Objects/btn_Next""))",Chrome 118.0.0.0,,,2023-11-01 17:18:40,2023-11-01 17:18:41,0.396s,PASSED
delay(12),Chrome 118.0.0.0,,,2023-11-01 17:18:41,2023-11-01 17:18:53,12.017s,PASSED
"scrollToElement(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:18:53,2023-11-01 17:19:10,17.504s,PASSED
"click(findTestObject(""Object Repository/Category_View_Page/Category_View_Page_Objects/btn_Save_n_Continue""))",Chrome 118.0.0.0,,,2023-11-01 17:19:10,2023-11-01 17:19:11,0.468s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Thankyou_Page/Thankyou_Page_Objects/txt_h1_Thank you""), 0)",Chrome 118.0.0.0,,,2023-11-01 17:19:11,2023-11-01 17:19:15,4.680s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-11-01 17:19:15,2023-11-01 17:19:16,0.757s,PASSED
